Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513086,1602.072,1,OK,0.0978010,-0.0814936,-0.9918638,0.0000000,159.946,2.209,-137.631,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513094,1602.096,1,OK,0.0977304,-0.0836027,-0.9916952,0.0000000,159.967,2.268,-137.613,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513102,1602.121,1,OK,0.0978632,-0.0813791,-0.9918670,0.0000000,159.928,2.207,-137.623,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513110,1602.146,1,OK,0.0979463,-0.0802513,-0.9919507,0.0000000,159.910,2.183,-137.636,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513118,1602.171,1,OK,0.0979502,-0.0794164,-0.9920175,0.0000000,159.899,2.161,-137.624,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513126,1602.196,1,OK,0.0979550,-0.0765371,-0.9922434,0.0000000,159.890,2.099,-137.628,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513134,1602.221,1,OK,0.0979553,-0.0765745,-0.9922404,0.0000000,159.906,2.113,-137.642,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513142,1602.246,1,OK,0.0979707,-0.0762619,-0.9922630,0.0000000,159.903,2.106,-137.642,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513150,1602.271,1,OK,0.0979515,-0.0763469,-0.9922584,0.0000000,159.893,2.103,-137.629,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513158,1602.296,1,OK,0.0979066,-0.0770924,-0.9922051,0.0000000,159.906,2.130,-137.624,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513166,1602.321,1,OK,0.0978616,-0.0778378,-0.9921514,0.0000000,159.919,2.156,-137.619,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513174,1602.346,1,OK,0.0978401,-0.0777770,-0.9921583,0.0000000,159.920,2.149,-137.611,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513182,1602.371,1,OK,0.0979462,-0.0767820,-0.9922253,0.0000000,159.898,2.117,-137.617,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513190,1602.396,1,OK,0.0980490,-0.0768838,-0.9922073,0.0000000,159.892,2.111,-137.630,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513198,1602.421,1,OK,0.0980835,-0.0793010,-0.9920136,0.0000000,159.902,2.172,-137.635,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513206,1602.446,1,OK,0.0979183,-0.0813471,-0.9918642,0.0000000,159.943,2.225,-137.624,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513214,1602.471,1,OK,0.0979139,-0.0816369,-0.9918409,0.0000000,159.925,2.220,-137.602,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513222,1602.496,1,OK,0.0979435,-0.0804398,-0.9919357,0.0000000,159.904,2.187,-137.597,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513230,1602.521,1,OK,0.0980431,-0.0801039,-0.9919531,0.0000000,159.889,2.186,-137.606,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513238,1602.546,1,OK,0.0980886,-0.0797297,-0.9919787,0.0000000,159.889,2.173,-137.618,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513246,1602.571,1,OK,0.0981655,-0.0800235,-0.9919475,0.0000000,159.877,2.184,-137.620,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513254,1602.596,1,OK,0.0982203,-0.0787186,-0.9920464,0.0000000,159.875,2.159,-137.634,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513262,1602.621,1,OK,0.0980812,-0.0794136,-0.9920048,0.0000000,159.902,2.191,-137.616,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513270,1602.646,1,OK,0.0979120,-0.0807530,-0.9919134,0.0000000,159.933,2.235,-137.596,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513278,1602.671,1,OK,0.0979581,-0.0783720,-0.9920998,0.0000000,159.907,2.183,-137.592,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513286,1602.696,1,OK,0.0981186,-0.0772654,-0.9921708,0.0000000,159.871,2.154,-137.601,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513294,1602.721,1,OK,0.0982131,-0.0749427,-0.9923395,0.0000000,159.857,2.106,-137.622,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513302,1602.746,1,OK,0.0982301,-0.0765279,-0.9922169,0.0000000,159.863,2.153,-137.612,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513310,1602.771,1,OK,0.0980275,-0.0772264,-0.9921828,0.0000000,159.922,2.187,-137.605,0.0000000,0
